220103074,2.06,8,
220103089,3.31,14,The Impact of Technology on Student Learning
200103127,2.62,9,Effective Study Habits for Academic Success
220103093,2.37,10,
200103210,3.23,13,
220103468,2.08,4,
220103050,1.15,5,Exploring the Benefits of Extracurricular Activities
220103288,1.47,6,Strategies for Overcoming Procrastination
200103420,3.1,7,
220103322,2.7,2,
210103235,2.42,5,
220103004,3.76,8,The Importance of Critical Thinking Skills in Education
210103246,2.7,3,
220103198,2.19,2,
220103014,3.53,13,
210103021,1.49,7,
220103047,1.59,1,
210103095,1.67,4,
220103461,1.26,11,The Influence of Peer Pressure on Academic Performance
210103489,2.32,10,
200103138,1.26,6,
230103323,2.37,3,
210103947,1.62,10,
200103091,1.27,11,
210103672,2.49,14,
220103811,1.19,3,
210103986,3.35,3,
210103537,3.16,14,
200103578,2.36,6,
220103215,1.3,1,
